school,avgscrwrite,phone
Gateway of Sonoma,,
Petaluma Continuation Hi (Defu,,
Rohnert Park Jr-Sr Hi (Defunct,,
Sonoma Child Development Cente,,
"Grace Reese  (Sr., MH)",,
Deforest Hamilton School,,
Steven Irwin Elementary (Sh),,
Clearwater Ranch (E.H.),,
Lane Ranch,,
Plumfield (Lh),,
Luther Burbank Child Developme,,
Petaluma Child Development Cen,,
Sebastopol Child Development C,,
Healdsburg Child Development C,,
Sonoma County Mobile Camp,,
El Colegio,,
Sonoma County Children's Day T,,
Youth Camp,,
Windsor Educational Center,,
El Colegio,,
County Community Schools,,
Mt. Hood School,,
New Directions (Lh) (Adtc),,
The Dependent School,,
Los Guilucos School for Girls,,
WSCUHSD Community Day,,(707) 824-6403
West Sonoma County Consortium,,(707) 824-7911
Gerboth (Jack) High,,
Nuevo Leon High,,
West Sonoma Charter,,
Russian River Charter,,
Taylor Mountain Elementary,,(707) 542-3671
Stony Point Academy,,(707) 568-7504
Meadow View Elementary,,(707) 541-3715
Bennett Valley Elementary,,
Cinnabar Elementary,,(707) 765-4345
Eagle Creek Community Day,,
Eagle Creek,,(707) 894-1900
Dunham Charter,,(707) 795-5050
Forestville Academy,,(707) 887-2279
Fort Ross Charter,,
Geyserville Community Day,,
Geyserville New Tech Academy,,(707) 857-3592
Gravenstein First,,(707) 823-7008
Gravenstein Community Day,,(707) 823-7008
Guerneville Community Day,,
Salmon Creek School - A Charter,,(707) 874-1205
Country Charter (Elem),,
Pathways Charter,,(707) 585-6510
Fitch Mountain Elementary,,
Healdsburg Elementary,,
Foss Creek Elementary,,
Healdsburg High,,
Mountain View Continuation High,,
Healdsburg Junior High,,
Windsor Junior High,,
Kenwood Charter,,
California Virtual Academy @ Sonoma,,(805) 581-0202
Liberty Primary,,(707) 795-4380
California STEAM Sonoma,,(310) 527-1741
Mark West Charter,,(707) 524-2741
John B. Riebli Elementary,,(707) 524-2980
Pivot Online Charter - North Bay,,(707) 843-4676
River Montessori Elementary Charter,,(707) 778-6414
Loma Vista Immersion Academy,,(707) 765-4302
Sonoma Mountain Elementary,,(707) 765-4305
Sixth Grade Charter Academy at Petaluma Jr. High,,(707) 778-4724
South County Consortium,,(707) 778-4641
Valley Oaks Elementary (Alternative),,(707) 778-4794
Live Oak Charter,,(707) 762-9020
Petaluma Charter,,
Gateway to College Academy,,(707) 778-4621
Petaluma Accelerated Charter,,(707) 778-4750
Carpe Diem High (Continuation),,(707) 778-4796
Sonoma Mountain High (Continuation),,(707) 778-4738
Valley Oaks High (Alternative),,(707) 778-4794
Mary Collins Charter School at Cherry Valley,,(707) 778-4740
Crossroads,,(707) 778-4793
Mary Collins School at Cherry Valley,,
Jack London Elementary,,(707) 522-3030
Northwest Prep Charter,,(707) 522-3320
Piner-Olivet Charter,,(707) 522-3310
Sonoma County Charter,,
Rincon Valley Charter,,(707) 537-8640
Redwood Consortium for Student Services,,(707) 575-5879
Austin Creek Elementary,,(707) 538-2122
Roseland Charter,410.0,(707) 545-0102
Roseland Creek Elementary,,(707) 543-2800
Santa Rosa Charter School for the Arts,,(707) 522-3170
Santa Rosa French-American Charter (SRFACS),,(707) 522-3161
Cesar Chavez Language Academy,,(707) 528-5011
Hope Academy,,(707) 528-5272
Santa Rosa Elem. Alternative Education,,
South Park Elementary,,
Hidden Valley Deaf and Hard of Hearing,,
Santa Rosa Charter,,
Santa Rosa Charter (Elem),,
Kid Street Learning Center Charter,,(707) 525-9223
Kenwood Charter,,
Santa Rosa Accelerated Charter,,(707) 528-5319
Abraxis Charter,,(707) 539-2897
Lewis Opportunity,,(707) 284-8225
Arts & Ethics Academy WASC Accredited Charter High,,
Santa Rosa Virtual Charter High,,
Santa Rosa High Alternative Education,,
Nueva Vista High,,
Mesa High,,(707) 528-5227
Elsie Allen High,457.0,(707) 528-5020
Grace High,,(707) 528-5756
Midrose High,,(707) 528-5041
Maria Carrillo High,563.0,(707) 528-5790
Nexus Learning Community,,
Roseland Accelerated Middle School,,
REACH,,(707) 823-8618
Sebastopol Independent Charter,,(707) 824-9700
Mariposa Alternative,,
Woodland Star Charter,,(707) 996-3849
Creekside High,,(707) 933-4046
Gateway,,
Agua Caliente High (Cont.),,
Sonoma Charter,,(707) 935-4232
Gateway Middle,,
Adele Harrison Middle,,(707) 935-6080
Orchard View,,(707) 823-4709
Sunridge Charter,,(707) 824-2844
Waugh Elementary,,
Corona Creek Elementary,,(707) 765-3331
Windsor Middle,,
Windsor Elementary,,
Brooks Elementary,,
Washburn (Mattie) Elementary,,
Robert L. Stevens Elementary,,(707) 575-8883
Credo High,,(707) 664-0600
Academy of Arts and Sciences: Sonoma,,(855) 937-4227
University Elementary at La Fiesta,,(707) 792-4840
Technology Middle,,(707) 792-4800
Phoenix High (Continuation),,
Technology High,567.0,(707) 792-4825
Cotati Middle,,
Lawrence E. Jones Middle,,(707) 588-5600
Community Day,,
Village Charter,,(707) 524-2848
Insight School of California - North Bay,,
"Bridges Community Based School, North County Consortium",,(707) 837-7727
Manzanita Montessori Charter,,(707) 474-8327
Windsor Adult Education,,
Windsor High,516.0,(707) 837-7767
Windsor Oaks Academy,,(707) 837-7771
Mattie Washburn Elementary,,(707) 837-7727
Windsor Creek Elementary,,(707) 837-7757
Healdsburg Adult,,
Healdsburg Charter,,(707) 431-3440
Marce Becerra Academy,,(707) 431-3449
Mountain View Continuation High,,
Archway Academy,,
Vocational Education Academy,,
Great Valley Academy,,(209) 576-2283
Stanislaus Alternative Charter,,(209) 238-6801
Stanislaus County Institute of Learning,,(209) 238-8750
Petersen Alternative Center for Education,,(209) 238-6717
Valley Charter High,489.0,(209) 238-6800
Stanislaus Teen Recovery,,
Community Middle College,,
John F. Kennedy Complex for Sp,,
Stanislaus County Independent Study,,
Stanislaus County Community School,,
Whitmore Charter School of Art & Technology,,(209) 556-1610
Whitmore Charter High,542.0,(209) 556-1617
Central Valley High,433.0,(209) 556-1900
Joel J. Hidahl Elementary,,(209) 556-1650
M. Robert Adkison Elementary,,(209) 556-1600
Sinclear Elementary,,(209) 556-1680
La Rosa Elementary,,(209) 556-1660
Aspire Summit Charter Academy,,(209) 538-8082
Caswell State Preschool,,(209) 537-4505
Early Intervention State Pre,,
Grandview Head Start,,
Cesar Chavez Junior High,,(209) 556-1830
Lucas Elementary,,(209) 556-1500
Patricia Kay Beaver Elementary,,(209) 556-1500
Ceres Special Education,,(209) 556-1500
Endeavor Alternative,,(209) 556-1805
Whitmore Elem.,,
Walter White Aurally Handicapp,,
Ceres Alternative Education,,
Samuel Vaughn Elementary,,(209) 556-1690
Blaker-Kinser Junior High,,(209) 556-1810
Whitmore Charter School of Personalized Learning,,(209) 556-1610
Denair Community Day,,
Oasis Community Day,,
Denair Elementary Community Day,,
Denair Academic Avenues,,
Denair Elementary Charter Academy,,(209) 632-8887
Denair Charter Academy,,(209) 634-0917
K-8 Denair Elementary,,
Norman N. Glick Middle,,(209) 577-3945
Alice N. Stroud Elementary,,(209) 491-0754
Gratton Charter,,(209) 632-0505
Hart-Ransom Academic Charter,,(209) 523-0401
Hickman Charter,,(209) 874-9070
Hickman Middle,,(209) 556-6540
Ross (Emilie J.) Elementary,,
Hughson Elementary,,
Lebright Elementary,,
Hughson High,,
Dickens (Billy Joe) High (Cont.),,
The California Charter School in the Valley,,
Gold Rush Home Study Charter,,
Keyes to Learning Charter,,(209) 634-6467
University Charter,,
Barbara Spratling Middle,,(209) 664-3833
Summit Charter Academy,,
La Grange Charter Academy,,
Kerr Avenue (TMR),,
Lincoln Elem 'Defunct=,,
Sutter Elementary,,
Washington Crippled Children,,
Washington Elementary,,
Fremont Open,,
James C. Enochs High,487.0,(209) 550-3400
Aspire Vanguard College Preparatory Academy,,(209) 521-3010
Joseph A. Gregori High,465.0,(209) 550-3421
Modesto Virtual Academy,,
Juvenile Hall,,
Peter Johansen High,435.0,(209) 576-4702
Modesto City Alternative Education/Opp,,
Special Education,,
Valley Oak High,,
Cloverland Elementary,,
Fair Oaks Elementary,,
Oakdale Junior High,,
Magnolia Elementary,,
Oakdale Adult Ed.,,
Oakdale Jt. Un. High Alternative,,
Oakdale Home Study Charter,,
Valley Oak High (Alternative),,
East Stanislaus High (Cont.),,
Oakdale High,,
Riverbank High,,
Paradise Charter,,(209) 524-0184
Apricot Valley Elementary,,(209) 892-4700
Walnut Grove Elementary,,(209) 892-4770
Rising Sun,,(209) 895-7700
Open Valley Independent Study,,(209) 892-4745
Harney Elementary,,
Patterson Adult,,(209) 892-4720
Walnut Acres State Preschool C,,
California Avenue Elementary,,
Cardozo Middle,,
Milnes Elementary,,
Rio Altura Elementary,,
Roberts Ferry Charter School Academy,,(209) 874-2331
Golden Lakes Charter School at La Grange,,
Roberts Ferry Community Day,,
Independence Charter,,(209) 545-4415
Great Valley Academy - Salida,,(209) 545-7500
Mildred Perkins Elementary,,(209) 545-4415
Dena Boer,,(209) 543-8163
Salida Middle School - Vella Campus,,
Salida Middle School - Vella Campus,,(209) 545-1633
Shiloh Charter,,(209) 522-2261
Mary Lou Dieterich Elementary,,(209) 550-8400
Daniel J. Savage Middle,,(209) 552-3300
Crossroads Elementary,,(209) 869-2100
Mary Ann Sanders Elementary,,(209) 552-3200
Aspire University Charter,,(209) 544-8722
Orchard Elementary,,(209) 552-3100
Elizabeth Ustach Middle,,(209) 552-3000
Freedom Elementary,,(209) 552-3400
Valley Home Community Day,,
Waterford Elementary,,
Moon (Richard M.) Elementary,,
Hunt Elementary,,(209) 862-1020
Hurd Barrington Elementary,,(209) 862-2585
Newman-Crows Landing Continuat,,
Newman-Crows Landing Continuat,,
Newman-Crows Landing Adult,,(209) 862-2309
Newman-Crows Landing Independent Study,,(209) 862-2309
Foothill Community Day,,(209) 862-2309
New Beginnings Community Day,,
Fox Road Elementary,,(209) 883-2256
Hughson Community Day,,
Valley Community Day,,(209) 883-0469
Lebright Elementary,,
Adelante High,,(209) 869-2383
Riverbank Language Academy,,(209) 869-8093
RISE (Riverbank Independent Study Education),,
Mesa Verde Elementary,,(209) 869-7320
Sierra View Elementary,,(209) 848-4200
Oakdale Jt. Un. High Alternative,,
Oakdale Charter,,(209) 848-4361
Valley Oak Junior and Senior High,,(209) 847-3097
Valley Technical,,
Waterford Community Day,,
Sentinel High,,(209) 874-9017
Lucille Whitehead Intermediate,,(209) 874-1080
Richard M. Moon Primary,,(209) 847-2371
Waterford Community Day,,
Waterford Adult Education Center,,(209) 596-1511
Waterford High,465.0,(209) 874-9060
Connecting Waters Charter,504.0,(209) 874-9463
Waterford Junior,,(209) 874-2382
Sandra Tovar Medeiros Elementary,,(209) 668-9600
Walnut Elementary Education Center,,(209) 664-9907
eCademy Charter at Crane,,(209) 669-3410
Fusion Charter,,(209) 667-0327
Freedom Education Center,,
John H. Pitman High,480.0,(209) 656-1592
Marvin A. Dutcher Elementary,,
Dennis G. Earl Elementary,,(209) 634-1090
Marvin A. Dutcher Middle,,(209) 667-8817
Feather River Academy,,(530) 822-2400
School for Pregnant Minors,,
Other County-Wide Programs,,
Sutter County Opportunity,,
Sutter County Adult,,(530) 822-5120
Andrew Newton TMR,,
Butte Vista TMR,,
Lincrest (Aphasic),,
Woodleaf Outdoor,,
Bald Rock Outdoor,,
Brittan Community Day,,
Three Rivers High (Continuation),,
Live Oak Adult,,
South Sutter Charter,465.0,(530) 295-3566
California Virtual Academy @ Sutter,,(805) 581-0202
California Prep Sutter K-7,,(424) 289-8100
California Prep Sutter 8-12,,(949) 887-6391
California Virtual Academy @ Sutter,,
Sutter Peak Charter Academy,,(866) 992-9033
Inspire Charter School - North,,(626) 932-1802
Andros Karperos,,(530) 822-4440
Twin Rivers Charter,,(530) 755-2872
River Valley High,479.0,(530) 822-2500
Yuba City Charter High,,
Riverbend Elementary,,(530) 822-3100
Yuba City Special Education Preschool,,(530) 822-7649
Yuba City Charter,,(530) 822-9667
Wilson Continuation High,,
Preschool Program,,
Yuba City Preschool,,
Mt. Tehama Community School,,
Tehama County Community Day,,
Tehama County Community,,
Sacramento River Discovery Charter,,
Tehama County Juvenile Hall (Supt.),,
Olive View,,
Elder Creek TMR and Visually H,,
Opportunity Class,,
Alternative/Opportunity,,
Lincoln Street,,(530) 527-5811
Tehama eLearning Academy,,(530) 527-0188
Lassen-Antelope Volcanic Academy (LAVA),,(530) 527-1272
Antelope Community Day,,(530) 527-1272
Woodson Elementary,,(530) 824-7720
Discovery Academy,,
Rancho Tehama Elementary,,(530) 585-2800
Columbia Academy,,(530) 824-7778
Corning Adult,,(530) 824-7414
Corning-Center Alternative Learning,,
Evergreen Community Day K-5,,(530) 347-3411
Evergreen Institute of Excellence,,(530) 347-3411
Evergreen Middle,,(530) 347-3411
Evergreen Community Day (5-8),,(530) 347-3411
Gerber Community Day,,
Lassen View Community Day,,(530) 527-5162
Los Molinos Community Day,,(530) 384-7900
Tehama Elementary,,
Los Molinos Elementary Community Day,,
Wonder To Wisdom Charter Academy,,
Red Bluff Community Day K-5,,
Red Bluff Community Day K-5,,(530) 527-9015
Lincoln Elem.,,
Red Bluff Community Day,,(530) 527-7840
Educational Outreach Academy,,
Adult Education,,(530) 529-8766
Red Bluff Adult,,
Rebound,,
Red Bluff Independent Study High,,
Reeds Creek Elementary,,(530) 527-6006
Trinity County Home,,
California Heritage Youthbuild Academy II,,(530) 378-5254
Trinity County Community,,(530) 623-2861
Mountain Academy Charter,,(530) 623-2861
Trinity County Juvenile Hall,,(530) 623-2861
Alternative/Opportunity,,
Alternative/Opportunity,,
Summit Charter,,
Grover Ladd Elementary,,
Hayfork Valley Elementary,,
Wildwood Elementary,,
Hyampom Elementary,,
Ruth Elem (Defunct),,
Hayfork High,,
Southern Trinity Adult Education,,(707) 574-6239
Southern Trinity Community Day,,
Southern Trinity Community Day,,
Mountain Valley Adult,,(530) 628-5265
Mountain Valley Community Day,,
Trinity Adult,,(530) 623-6104
Trinity River Community Day,,
Trinity River Elementary Community Day,,(530) 623-6104
University Preparatory High,498.0,(559) 730-2529
Valley Life Charter,,(559) 625-8527
La Sierra High,,(559) 733-6963
Maple Development Cntr.For Han,,
Juvenile Hall,,
Porterville Development Cntr.,,
Robert K. Meyers High (Juvenil,,
Tulare County Development Cent,,
L.B. Hill Learning Cntr.,,
Maple Learning Center,,
Occupational Training Program,,
Porterville Learning Center,,
Clinite (William D.) Center for Hearing Impai,,
Yettem Learning Center,,
River Bend School (OH),,
Eleanor Roosevelt Community Learning Center,,(559) 592-9160
California Connections Academy@Central,,(559) 713-1324
Alpaugh Achievement Academy Charter,,
Tule Continuation High,,(559) 949-8644
Tule Adult,,
Alta Vista Community Day,,
Summit Charter Academy,,(559) 782-5902
Burton Community Day,,(559) 781-8020
Burton Horizon Academy,,(559) 782-4748
William R. Buckley Elementary,,(559) 788-6412
Jim Maples Academy,,(559) 781-1658
Family Education Center,,(559) 528-1790
Community Day K-6,,
Yettem Continuation High,,
Cutler-Orosi Adult,,(559) 528-6949
Cutler-Orosi Community Day,,(559) 528-3190
Lovell Elem 'Defunct=,,
Sierra Elementary,,
Yettem Elementary,,
Golden Valley Elementary,,(559) 528-9004
El Monte Middle,,(559) 528-3017
Grand View Elementary,,
Jefferson Elementary,,
Lincoln Elementary,,
Washington Intermediate,,
Wilson Elementary,,
Roosevelt Elementary,,
Sierra Vista High (Cont.),,
Dinuba Adult Evening High,,
Dinuba High,,
Earlimart Community Day,,(661) 849-4841
Alila,,(661) 849-4202
Wilson Junior High,,
Exeter Union Community Day,,
Snowden (George L.) Elementary,,
Hester (J. E.) Elementary,,
Farmersville Junior High,,
Roosevelt Elementary,,(559) 562-7208
Kennedy Elementary,,(559) 562-5466
Reagan Elementary,,(559) 562-1311
Loma Vista Charter,,(559) 562-5111
John J. Cairns Continuation,,(559) 562-5913
Lindsay Community Day,,(559) 562-5913
Golden Hills Alternative High (Cont.),,
Pixley Middle,,(559) 757-3018
Pixley Community Day,,
Buena Vista Community Day,,(559) 784-6769
Pleasant View Elementary,,
Pleasant View Primary Community Day School,,
Bartlett Intermediate,,
Belleview Elementary,,
John J. Doyle Elementary,,
Olive Street Elementary,,
Pioneer Intermediate,,
Roche Elementary,,
Vandalia Elementary,,
West Putnam Elementary,,
Westfield Elementary,,
Los Robles Elementary,,
Monte Vista Elementary,,
Citrus High (Cont.),,
Johnsondale High,,
Martin Memorial High School,,
Monache High,,
Porterville Adult,,
Porterville High,,
Richgrove Elementary,,(661) 725-2424
Springville Union,,
Martin Memorial Elem.,,
Crescent Valley Public Charter,,(559) 970-5894
Strathmore Elementary,,(559) 568-2118
Strathmore Middle,,
Strathmore Community Day,,(559) 568-9293
Carl Smith Middle,,(559) 535-4451
Los Tules Middle,,(559) 687-3156
Mission Valley Elementary,,(559) 685-7396
Tulare Support,,
Tulare Support,,(559) 685-7200
Alpine Vista,,(559) 687-3135
Heritage Elementary,,(559) 685-7360
Tulare City Community Day,,(559) 685-7376
Countryside Community Day,,(559) 687-7384
Mission Oak High,435.0,(559) 688-2021
Sierra Vista Charter High,,(559) 687-7384
Accelerated Charter High,,(559) 688-2021
Tulare Jt. Union High Alternative Education,,
Tulare Technical Preparatory High,,(559) 687-7400
Sierra Vista High,,
Tulare Adult Education,,
Oak Grove Elementary,,(559) 622-3105
Four Creeks Elementary,,(559) 622-3115
Visalia Charter Independent Study,442.0,(559) 735-8055
Cottonwood Creek Elementary,,(559) 735-3539
Manuel F. Hernandez,,(559) 622-3199
Visalia Technical Early College,,(559) 622-3212
Sycamore Valley Academy,,(559) 622-3236
Shannon Ranch Elementary,,(559) 622-3258
Ridgeview Middle,,(559) 622-3308
Visilia Independent Study,,
Charter Oak (Char),,
Packwood (Community Day),,
Charter Alternatives Academy,,(559) 730-7491
El Diamante High,475.0,(559) 735-3501
Packwood Elementary,,
Taurusa-Chatham Elem.,,
Webster Elementary,,
East Union Elementary,,
Visilia Home Teaching,,
Hurley Elementary,,(559) 730-7905
La Joya Middle,,(559) 730-7921
Charter Home School Academy,,(559) 730-7916
Freedom Elementary,,(559) 592-2662
Farmersville High,400.0,(559) 594-4567
Deep Creek Academy,,(559) 747-6205
Horizon Community Day,,
